0,1,2
lists event,ਸੂਚੀ ਘਟਨਾ,soochee ghatna
has program,ਪ੍ਰੋਗਰਾਮ ਹੈ,program hai
listener,ਸਰੋਤਾ,sarota
banquet,ਭੋਜਨ,bhojan
hardcopy of mailing manifests printed by,ਮੇਲ ਮੈਨੀਫੈਸਟਾਂ ਦਾ ਹਾਰਡਕਾਪੀ ਛਾਪਿਆ ਦੁਆਰਾ,mel mainifaisatan da hardkapi chapia duara
is location of,ਸਥਾਨ ਹੈ,sthān hai
has call,ਕਾਲ ਕਰੋ,kaal karo
conference paper,ਕਾਨਫਰੰਸ ਪੇਪਰ,conference paper
volunteer of conference,ਕਾਨਫਰੰਸ ਦਾ ਸਵੈਸੇਵਕ,conference da swaisevak
two level conference,ਦੋ-ਪੱਧਰੀ ਕਾਨਫਰੰਸ,do-paddhri conference
conference restaurant,ਕਾਨਫਰੰਸ ਰੈਸਟੋਰੈਂਟ,conference restaurant
activity taking place during conference,ਕਾਨਫਰੰਸ ਵਿੱਚ ਗਤੀਵਿਧੀ,conference douran hon vali gatividhi
is written by,ਦੁਆਰਾ ਲਿਖਿਆ ਗਿਆ,duara likhya gia
evaluated paper,ਮੁਲਾਂਕਣ ਕੀਤਾ ਪੇਪਰ,mulankhan kita paper
record of attendance,ਹਾਜ਼ਰੀ ਦਾ ਰਿਕਾਰਡ,hazri da record
published paper,ਪ੍ਰਕਾਸ਼ਿਤ ਪੇਪਰ,prakaashit paper
member of iasted,ਆਈਏਐਸਟੀਈਡੀ ਦਾ ਮੈਂਬਰ,AIStiDi da member
stay in city,ਸ਼ਹਿਰ ਵਿੱਚ ਰਹਿਣਾ,shahar vich rehna
state of the presenter,ਪੇਸ਼ਕਾਰ ਦੀ ਸਥਿਤੀ,peshekhar di sthiti
platinum sponzor of conference,ਪਲੈਟੀਨਮ ਸਪਾਂਸਰ ਦੁਆਰਾ,Platinum sponsor dwara
has last name,ਦਾ ਆਖ਼ਰੀ ਨਾਮ ਹੈ,dā ākʰrī nām hai
has reviewer,ਸਮੀਖਿਅਕ ਦੁਆਰਾ,sameekhyak dwaara
computer networks management topic,ਕੰਪਿਊਟਰ ਨੈਟਵਰਕ ਪ੍ਰਬੰਧਨ ਵਿਸ਼ਾ,kampiyutar netavarik prabandhan visha
event on list,ਸੂਚੀ ਵਿਚ ਘਟਨਾ,soochee vich ghatna
expert on topic,ਵਿਸ਼ੇ ਦਾ ਮਾਹਰ,Vishay da Maahir
