0,1
accepted by,इसके द्वारा स्वीकृत
welcome talk,स्वागत वार्ता
computer networks topic,संगणक जाल-तंत्र विषय
pending paper,लंबित शोध पत्र
microelectronics topic,माइक्रोइलेक्ट्रॉनिक विषय
deadline of author notification,लेखक अधिसूचना की समय सीमा
personal history,व्यक्तिगत इतिहास
computer networks optical topic,संगणक जाल-तंत्र चाक्षुष विषय
date of acceptance notification,स्वीकृति अधिसूचना की तिथि
has city,शहर है
has topic,विषय है
virtual meeting enabled by,आभासी बैठक द्वारा सक्षम किया गया
performance topic,प्रदर्शन विषय
is held before,से पहले आयोजित किया गया
activity,गतिविधि
city where the conference takes place,शहर जहां सम्मेलन होता है
has amount of cost,लागत की राशि है
short paper,लघु शोध पत्र
closing talk,समापन वार्ता
hasevent,कार्यक्रम है
cryptography topic,क्रिप्टोग्राफी विषय
paper assignment tools run by,शोध पत्र कार्यभार उपकारणो द्वारा चलाया जाता है
presentation,प्रस्तुतीकरण
call for papers,शोध पत्रो के लिए बुलावा
presents document,दस्तावेज़ प्रस्तुत करता है
attendee at,सहभागी
co-author of contribution,योगदान के सह-लेखक
conference end date and time,सम्मेलन की समाप्ति तिथि और समय
paper assignment finalized by,शोध पत्र कार्यभार को अंतिम रूप दिया गया
added by,द्वारा जोड़ा
scientifically organised by,वैज्ञानिक रूप से आयोजित
submission,प्रस्तुतीकरण
plenary lecture,पूर्ण व्याख्यान
gold sponzor of conference,सम्मेलन का स्वर्ण प्रायोजक
activity of accepting a manuscript,पांडुलिपि स्वीकार करने की गतिविधि
conference fee,सम्मेलन शुल्क
textual review question,पाठ्य समीक्षा प्रश्न
menu (meal),मेनू (भोजन)
submitted paper,प्रस्तुत शोध पत्र
value added tax,मूल्य वर्धित कर
member of conference,सम्मेलन के सदस्य
applicant for conference who early paid conference fee,सम्मेलन के लिए आवेदक जिन्होंने जल्दी सम्मेलन शुल्क का भुगतान किया
submit paper,शोध पत्र जमा करें
has rating,मूल्यांकन है
dining place,खाने की जगह
read by meta-reviewer,मेटा-समीक्षक द्वारा पढ़ा गया
non speaker,गैर वक्ता
lecture,भाषण
presented by,द्वारा प्रस्तुत
written by author,लेखक द्वारा लिखित
is sent after,के बाद भेजा जाता है
state of the sponsor,प्रायोजक की स्थिति
conference building,सम्मेलन भवन
has subject area,विषय क्षेत्र है
is chair of committee,समिति के अध्यक्ष हैं
proceedings,कार्यवाही
time,समय
session room,सत्र कक्ष
conference registration form,सम्मेलन पंजीकरण प्रपत्र
working event,काम करने का कार्यक्रम
conference announcement,सम्मेलन की घोषणा
is held in,में आयोजित किया जाता है
reviewed contribution,समीक्षित योगदान
is organizing committee of conference,सम्मेलन की आयोजन समिति है
has phone,फोन है
set-up deadline,निर्धारित समय सीमा
ISBN of proceedings,कार्यवाही का आईएसबीएन
written contribution,लिखित योगदान
conference chair,सम्मेलन के अध्यक्ष
mobile computing topic,मोबाइल कंप्यूटिंग विषय
passive participant of conference,सम्मेलन के निष्क्रिय प्रतिभागी
sponzor are called by,द्वारा प्रायोजक बुलाया जाता है
call,बुलाना
read by reviewer,समीक्षक द्वारा पढ़ा गया
published on date,तारीख को प्रकाशित
credit card,क्रेडिट कार्ड
has topic or submission contribution,विषय या प्रस्तुति योगदान है
multi-author volume,बहु-लेखक मात्रा
conference trip,सम्मेलन यात्रा
is paid for,के लिए भुगतान किया गया है
